ª›ÃﬂŸ:	'1_-3
Ãß≤Ÿñº:	1_-03.FD3
ï™êÕì˙éû:	'11:24:13, 11/26/2021
µÕﬂ⁄∞¿:	F-2700-USER
∫“›ƒ:	'

åıìxåv
”√ﬁŸ:	F-7100å`ï™åıåuåıåıìxåv
ºÿ±Ÿ No.:	2908-007
ROM Ver.:	5J14000 12

ëïíuèåè
ë™íË”∞ƒﬁ:	3éüå≥
√ﬁ∞¿”∞ƒﬁ:	åuåı
ó„ãNäJénîgí∑:	200.0 nm
ó„ãNèIóπîgí∑:	400.0 nm
ó„ãNë§ª›Ãﬂÿ›∏ﬁä‘äu:	10.0 nm
åuåıäJénîgí∑:	300.0 nm
åuåıèIóπîgí∑:	550.0 nm
åuåıë§ª›Ãﬂÿ›∏ﬁä‘äu:	2.0 nm
Ω∑¨›ΩÀﬂ∞ƒﬁ:	12000 nm/min
ó„ãNë§ΩÿØƒ:	5.0 nm
åuåıë§ΩÿØƒ:	5.0 nm
ŒƒœŸìdà≥:	400 V
⁄ΩŒﬂ›Ω:	é©ìÆ 
ΩÕﬂ∏ƒŸï‚ê≥:	On
º¨Ø¿êßå‰:	Off
ìôçÇê¸ä‘äu:	10.000

ëïíuä÷êî
ó„ãNë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF400V
åuåıë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF250V
åuåıë§(500Å`900nm)  ñ≥
ó„ãNë§(500Å`900nm)  ñ≥

åuåıã≠ìxïWèÄâª:	ON
ïWèÄééóøÃß≤Ÿñº:	STD_20211126_111042.FD3
ïWèÄééóø√ﬁ∞¿
EX:	340.0	nm
EM:	454.0	nm
Data:	28.57
îZìx:	100.000	FLU
ä∑éZåWêî:	3.499565

éwíËîgí∑
No.	EX/EM(nm)	çÇÇ≥(Data)	


√ﬁ∞¿ÿΩƒ
364.0	9.134	22.25	39.54	44.50	30.10	18.57	16.89	18.04	18.60	18.08	16.29	14.51	20.55	11.20	5.740	2.398	81.51	15.18	0.050	0.037	0.020
366.0	9.606	20.71	41.88	46.25	29.08	19.59	17.00	17.87	18.54	17.99	16.64	15.32	17.34	14.33	6.206	2.647	33.23	51.93	0.064	0.031	0.024
368.0	13.62	23.94	37.61	44.05	29.96	19.29	17.25	18.02	18.62	18.20	16.89	15.89	15.72	18.10	6.845	2.916	9.080	105.8	0.105	0.036	0.021
370.0	12.08	22.60	39.40	43.73	29.03	19.94	17.30	17.85	18.42	18.27	17.18	16.84	15.40	21.87	7.405	3.306	2.660	140.2	0.224	0.053	0.028
372.0	12.04	22.28	39.96	42.33	29.77	19.52	17.46	17.52	18.58	18.12	17.65	17.17	15.67	23.95	7.980	3.689	1.756	125.6	2.518	0.053	0.025
374.0	11.59	24.40	39.60	42.92	31.26	20.27	17.45	17.77	18.32	18.44	17.87	17.42	15.98	23.59	8.820	4.020	1.801	77.22	15.21	0.056	0.019
376.0	11.84	23.51	40.22	44.23	30.36	20.62	17.82	17.21	18.15	18.53	18.27	17.95	16.50	21.00	10.20	4.561	2.022	31.34	51.23	0.076	0.032
378.0	11.99	25.20	41.44	42.43	31.17	21.38	18.68	17.42	18.25	18.88	18.05	18.35	16.94	18.40	12.48	4.896	2.285	8.517	103.3	0.116	0.028
380.0	15.10	23.50	40.06	41.73	32.04	21.27	18.25	17.48	18.14	18.26	18.54	18.60	17.63	16.58	15.65	5.428	2.596	2.599	136.6	0.220	0.039
382.0	16.14	25.19	38.46	42.92	29.95	21.87	18.61	17.71	18.48	18.69	18.45	18.93	17.89	16.05	19.04	5.929	3.130	1.829	122.0	2.431	0.051
384.0	14.66	28.49	38.32	45.15	31.43	21.83	18.96	17.84	18.04	18.69	18.83	19.12	18.45	16.07	20.82	6.513	3.526	1.923	75.10	14.58	0.073
386.0	14.62	24.82	41.13	42.92	32.71	22.80	19.20	17.42	17.98	18.91	19.14	19.28	18.79	16.41	21.41	7.421	4.073	2.190	30.27	48.31	0.079
388.0	10.10	25.37	37.16	42.56	33.07	23.36	18.83	17.65	18.39	18.65	18.76	19.53	19.30	16.72	19.98	8.520	4.525	2.606	8.527	97.33	0.122
390.0	10.48	27.43	37.04	43.50	32.95	24.14	18.92	17.90	18.11	18.28	18.96	19.92	19.44	17.22	18.22	10.23	5.122	3.011	2.824	127.3	0.248
392.0	9.665	25.07	38.43	42.43	31.86	23.65	19.10	17.96	18.20	18.40	19.07	20.01	19.77	17.64	16.33	12.92	5.741	3.464	2.211	114.4	2.361
394.0	12.92	24.84	38.69	43.30	33.75	24.14	19.69	18.14	18.07	18.63	18.95	19.85	19.94	18.18	15.33	15.69	6.436	4.074	2.323	69.55	14.49
396.0	14.81	23.15	36.48	43.17	33.57	24.71	19.46	17.66	18.04	18.53	18.82	20.01	20.18	18.49	15.35	18.06	7.059	4.555	2.521	28.70	45.58
398.0	14.43	21.27	37.73	40.70	33.96	24.67	19.38	18.17	17.74	18.44	19.09	19.98	20.34	18.78	15.84	19.26	7.844	5.107	2.887	8.353	90.50
400.0	12.70	23.70	38.38	42.55	33.74	24.95	19.98	18.11	18.03	18.62	18.91	19.90	20.31	19.10	16.15	18.84	8.724	5.662	3.203	2.890	116.1
402.0	9.315	24.33	38.07	41.41	35.87	25.59	20.08	18.04	18.16	18.88	18.92	19.89	20.48	19.33	16.66	17.37	10.07	6.146	3.647	2.163	100.7
404.0	7.777	26.00	35.96	40.78	34.48	25.18	20.25	18.30	18.21	18.49	18.89	19.95	20.46	19.47	16.90	15.78	12.12	6.608	3.986	2.271	59.28
406.0	13.68	27.01	33.30	42.96	35.39	25.84	20.31	18.29	18.01	18.27	18.86	19.53	20.54	19.65	17.39	14.93	14.49	7.121	4.331	2.414	23.82
408.0	8.431	25.62	38.32	41.88	34.19	25.85	20.89	18.90	17.76	18.26	18.31	19.40	20.44	19.74	17.55	14.53	16.72	7.566	4.755	2.660	6.487
410.0	10.03	27.34	38.94	43.11	36.13	26.72	20.86	18.58	18.00	18.11	18.59	19.40	20.16	19.81	17.92	14.45	18.18	8.129	5.050	2.945	2.218
412.0	8.792	21.48	39.03	40.80	35.29	26.40	20.78	18.41	18.19	18.06	18.24	19.29	20.27	20.03	18.19	14.87	18.10	8.772	5.384	3.189	1.663
414.0	7.178	21.61	36.76	42.27	35.64	26.16	20.23	18.65	17.81	18.17	18.01	19.22	19.97	19.96	18.38	15.24	17.10	9.735	5.872	3.408	1.734
416.0	10.11	19.18	37.27	41.40	35.22	26.86	21.27	18.62	17.95	18.20	18.25	18.98	19.97	20.05	18.76	15.60	15.96	11.13	6.168	3.649	1.888
418.0	8.418	24.51	36.74	39.88	35.84	26.98	21.56	18.52	17.94	18.02	18.09	19.14	19.81	20.20	18.83	15.92	14.73	12.84	6.624	4.010	2.023
420.0	15.75	19.66	35.60	40.75	35.30	26.88	21.52	18.34	17.84	17.81	17.78	18.79	19.54	19.79	18.60	16.02	14.03	14.78	6.925	4.273	2.200
